Entity,ObjectEntity
Benzene,['hydrogen']
Benzene,['carbon']
Hydrogen iodide,['hydrogen']
Hydrogen iodide,['iodine']
Potassium bromide,['potassium']
Ammonia,['hydrogen']
Ammonia,['nitrogen']
Oleamide,['hydrogen']
Oleamide,['carbon']
Oleamide,['nitrogen']
Oleamide,['oxygen']
Selenium trioxide,['oxygen']
Selenium trioxide,['selenium']
Hyponitrous acid,['hydrogen']
Hyponitrous acid,['oxygen']
Sodium bromide,['sodium']
Potassium bitartrate,['carbon']
Potassium bitartrate,['oxygen']
Potassium bitartrate,['potassium']
Azathioprine,['carbon']
Azathioprine,['nitrogen']
Azathioprine,['oxygen']
Metformin,['hydrogen']
Metformin,['carbon']
Metformin,['nitrogen']
Lysergic acid diethylamide,['carbon']
Lysergic acid diethylamide,['nitrogen']
Lysergic acid diethylamide,['oxygen']
Calcium carbonate,['carbon']
Calcium carbonate,['oxygen']
Calcium carbonate,['calcium']
Budipine,['carbon']
Budipine,['nitrogen']
Sodium tripolyphosphate,['oxygen']
Sodium tripolyphosphate,['sodium']
Sodium tripolyphosphate,['phosphorus']
Sirolimus,['hydrogen']
Sirolimus,['carbon']
Sirolimus,['nitrogen']
Sirolimus,['oxygen']
Aminomethylpropanol,['hydrogen']
Aminomethylpropanol,['carbon']
Aminomethylpropanol,['nitrogen']
Aminomethylpropanol,['oxygen']
Vanillin,['carbon']
Vanillin,['oxygen']
Zirconium dioxide,['oxygen']
Zirconium dioxide,['zirconium']
Nifedipine,['carbon']
Nifedipine,['nitrogen']
Nifedipine,['oxygen']
Maleic acid,['carbon']
Maleic acid,['oxygen']
Magnesium citrate,['carbon']
Magnesium citrate,['oxygen']
Magnesium citrate,['magnesium']
Tenoxicam,['carbon']
Tenoxicam,['sulfur']
Sphingosine,['carbon']
Sphingosine,['oxygen']
Acetone,['hydrogen']
Acetone,['carbon']
Acetone,['oxygen']
Benzyl alcohol,['carbon']
Benzyl alcohol,['oxygen']
Pethidine,['hydrogen']
Pethidine,['carbon']
Pethidine,['nitrogen']
Pethidine,['oxygen']
Thioridazine,['carbon']
Thioridazine,['sulfur']
Fluphenazine,['hydrogen']
Fluphenazine,['carbon']
Fluphenazine,['nitrogen']
Fluphenazine,['oxygen']
Fluphenazine,['fluorine']
Fluphenazine,['sulfur']
Amitriptyline,['carbon']
Stibine,['antimony']
Histamine,['carbon']
Acetaldehyde,['hydrogen']
Acetaldehyde,['carbon']
Acetaldehyde,['oxygen']
Lithium iodide,['lithium']
Lithium iodide,['iodine']
Lithium hydride,['hydrogen']
Lithium hydride,['lithium']
Cyclobutane,['hydrogen']
Cyclobutane,['carbon']
Cyclopentane,['carbon']
Morphine,['hydrogen']
Morphine,['carbon']
Morphine,['nitrogen']
Morphine,['oxygen']
Bismuth subsalicylate,['bismuth']
Chlorophyll d,['hydrogen']
Chlorophyll d,['carbon']
Chlorophyll d,['nitrogen']
Chlorophyll d,['oxygen']
Chlorophyll d,['magnesium']
Nitric acid,['hydrogen']
Nitric acid,['nitrogen']
Nitric acid,['oxygen']
Sodium hydroxide,['hydrogen']
Sodium hydroxide,['oxygen']
Sodium hydroxide,['sodium']
Sodium hydroxide,"['hydroxide ion', 'hydroxide']"
Sodium hydroxide,"['sodium', 'sodium ion']"
Uric acid,['carbon']
Uric acid,['nitrogen']
Uric acid,['oxygen']
Gluconolactone,['hydrogen']
Gluconolactone,['carbon']
Gluconolactone,['oxygen']
Disilane,['hydrogen']
Disilane,['silicon']
Corrin,['carbon']
Corrin,['nitrogen']
Rubidium hydroxide,['hydrogen']
Rubidium hydroxide,['oxygen']
Rubidium hydroxide,['rubidium']
Potassium iodide,['potassium']
Potassium iodide,['iodine']
Titanium tetrafluoride,['fluorine']
Titanium tetrafluoride,['titanium']
Harmine,['carbon']
Harmine,['nitrogen']
Zirconyl chloride,['oxygen']
Zirconyl chloride,['chlorine']
Zirconyl chloride,['zirconium']
Phenol,['carbon']
Riboflavin,['carbon']
Glycerol,['hydrogen']
Glycerol,['carbon']
Glycerol,['oxygen']
Glycerol,['glyceryl']
Epinephrine,['carbon']
Epinephrine,['nitrogen']
Aluminium chlorohydrate,['aluminium']
Aluminium chlorohydrate,['chlorine']
Calcitriol,['carbon']
Triethylamine,['hydrogen']
Triethylamine,['carbon']
Triethylamine,['nitrogen']
Fumaric acid,['hydrogen']
Fumaric acid,['carbon']
Fumaric acid,['oxygen']
Mercuric chloride,['chlorine']
Mercuric chloride,['mercury']
Pimozide,['carbon']
Pimozide,['fluorine']
Azulene,['carbon']
Zanamivir,['carbon']
Zanamivir,['nitrogen']
Octane,['hydrogen']
Octane,['carbon']
Decane,['carbon']
Tridecane,['hydrogen']
Tridecane,['carbon']
Tetradecane,['carbon']
Heptadecane,['carbon']
Octadecane,['carbon']
Nonadecane,['carbon']
Icosane,['hydrogen']
Icosane,['carbon']
Docosane,['carbon']
Decene,['carbon']
Methylacetylene,['carbon']
Valsartan,['carbon']
Valsartan,['nitrogen']
Citric acid,['hydrogen']
Citric acid,['carbon']
Citric acid,['oxygen']
Formaldehyde,['hydrogen']
Formaldehyde,['carbon']
Formaldehyde,['oxygen']
Ethylidene chloride,['carbon']
Ethylidene chloride,['chlorine']
Vinylidene fluoride,['carbon']
Vinylidene fluoride,['fluorine']
Eucalyptol,['carbon']
Benzylpiperazine,['carbon']
Benzylpiperazine,['nitrogen']
Ddt,['carbon']
Ddt,['chlorine']
Tyramine,['hydrogen']
Tyramine,['carbon']
Tyramine,['nitrogen']
Tyramine,['oxygen']
Methacrylic acid,['hydrogen']
Methacrylic acid,['carbon']
