Entity,ObjectEntity
Apple inc.,['none']
Microsoft,['none']
Avtovaz,"['renault-nissan-mitsubishi alliance', 'renault–nissan–mitsubishi alliance']"
Avtovaz,['rostec']
Citroën,['stellantis']
Waymo,"['alphabet inc.', 'alphabet']"
Audi,"['volkswagen group', 'volkswagen']"
Eraz,['none']
Bmw,['none']
Abbott-detroit,['none']
Aero,['none']
Alfa romeo,['stellantis']
Aro,['none']
Austro-daimler,['none']
Avia,['ashok leyland']
Avia,"['czechoslovak group', 'czechoslovak']"
Avia,['ashok leyland']
Avia,['daewoo']
Bertone,['none']
Borgward,['none']
Bristol cars,['kamkorp']
Byd auto,"['byd', 'byd company']"
Dacia,['renault']
Dacia,"['renault-nissan-mitsubishi alliance', 'renault–nissan–mitsubishi alliance']"
Daewoo,['none']
Daihatsu,['toyota']
Duesenberg,['none']
Ferrari s.p.a.,['ferrari n.v.']
Fiat,['stellantis']
Hanomag,['komatsu limited']
Holden,['general motors']
Horch,['none']
Changan automobile,"['china south industries group', 'china south industries']"
Škoda auto,"['volkswagen group', 'volkswagen']"
Industrija motornih vozil,['none']
Jaguar cars,"['ford motor company', 'ford motor']"
Jaguar cars,['british leyland']
Jaguar cars,"['tata motors', 'tata motors ltd']"
Jensen motors,['none']
Kaipan,['none']
Koenigsegg,['none']
Lancia,['stellantis italy']
Land rover,"['tata motors', 'tata motors ltd']"
Land rover,['british leyland']
Land rover,"['ford motor company', 'ford motor']"
Land rover,['bmw']
Ligier,['none']
Lotus cars,['geely']
Mathis,['none']
Matra,['none']
Matra,"['lagardère group', 'lagardere']"
Mazda,['none']
Mg car company limited,['none']
Mitsubishi motors,"['mitsubishi group', 'mitsubishi']"
Mtx,['none']
Yahoo,"['yahoo inc.', 'yahoo']"
Yahoo,['verizon']
Ibm,['none']
Toyota group,['none']
Packard,['none']
Pierce-arrow,['none']
Porsche,"['volkswagen group', 'volkswagen']"
Praga,['none']
Rayton fissore,['none']
Richard-brasier,['none']
Ford motor company,['none']
Ruxton,['none']
Saab,['general motors']
Saab,['national electric vehicle sweden']
Saab,['spyker n.v.']
Saab,['saab-scania']
Saab,"['saab', 'saab group']"
Hitachi,['none']
Toyota,['none']
Velorex,['none']
Wikov,['none']
Riga autobus factory,['none']
Saipa,['none']
Max motors,['none']
Valmet automotive,['none']
Lea-francis,['none']
Locomobile company of america,['none']
Aldi,['none']
Fábrica nacional de motores,['none']
Artés de arcos,['none']
Zato vehicles,['none']
Briggs automotive company,['none']
Asus,['none']
Volkswagen group,['none']
Yamaha motor company,"['yamahaoration', 'yamaha corporation']"
Hermes-simplex,['none']
Hexe,['none']
Umm,['none']
Ginetta cars,['none']
Nedcar,['vdl groep']
Subaru,"['subaruoration', 'subaru corporation']"
Gordini,['renault']
Automobili turismo e sport,['none']
Bmw m,['bmw']
Automobilwerk eisenach,['none']
Blu,['wind (italy)']
Società torinese automobili elettrici,['none']
Central motors,['none']
Suzuki,['none']
Carbodies,['none']
Mitsubishi group,['none']
Zeddeco,['none']
Zeiller & fournier,['none']
Espenlaub,['none']
Tata motors ltd,['none']
Zena fabbrica automobili,['none']
Zeno galassi,['none']
Zentralmobil,['none']
Louis vuitton,['lvmh']
Prada,['none']
Texas instruments,['none']
