Entity,ObjectEntity
Canada,['greenland']
Canada,"['usa', 'united states of america']"
Japan,"['usa', 'united states of america']"
Japan,"['china', ""people's republic of china""]"
Japan,['russia']
Japan,['taiwan']
Japan,"['korea', 'south korea']"
Japan,['philippines']
Japan,['soviet union']
Republic of ireland,"['ireland', 'northern ireland']"
Republic of ireland,"['united kingdom', 'uk']"
Hungary,['croatia']
Hungary,['serbia']
Hungary,['romania']
Hungary,['austria']
Hungary,['slovakia']
Hungary,['ukraine']
Hungary,['slovenia']
Spain,['gibraltar']
Spain,['morocco']
Spain,['andorra']
Spain,['france']
Spain,['portugal']
Belgium,['luxembourg']
Belgium,['netherlands']
Belgium,['france']
Belgium,['germany']
Belgium,"['netherlands', 'kingdom of the netherlands']"
Finland,['norway']
Finland,['sweden']
Finland,['russia']
Poland,['ukraine']
Poland,['slovakia']
Poland,['belarus']
Poland,"['czechia', 'czech republic']"
Poland,['russia']
Poland,['lithuania']
Poland,['germany']
Lithuania,['poland']
Lithuania,['russia']
Lithuania,['belarus']
Lithuania,['latvia']
Austria,['hungary']
Austria,['italy']
Austria,['switzerland']
Austria,['germany']
Austria,"['czechia', 'czech republic']"
Austria,['slovakia']
Austria,['slovenia']
Austria,['liechtenstein']
Greece,"['north macedonia', 'macedonia']"
Greece,['turkey']
Greece,['bulgaria']
Greece,['albania']
Turkey,['syria']
Turkey,['greece']
Turkey,['bulgaria']
Turkey,['azerbaijan']
Turkey,['georgia']
Turkey,['armenia']
Turkey,['european union']
Turkey,['iran']
Turkey,['iraq']
Turkey,['arab league']
Uruguay,['brazil']
Uruguay,['argentina']
Egypt,['israel']
Egypt,['libya']
Egypt,['sudan']
Egypt,['gaza strip']
Egypt,['bir tawil']
Mexico,"['usa', 'united states of america']"
Mexico,['belize']
Mexico,['guatemala']
Kenya,['sudan']
Kenya,['lake nyanza']
Kenya,['arab league']
Kenya,['somalia']
Kenya,['tanzania']
Kenya,"['south sudan', 'sudan']"
Kenya,['uganda']
Kenya,['ethiopia']
Ethiopia,['arab league']
Ethiopia,['somalia']
Ethiopia,['eritrea']
Ethiopia,['sudan']
Ethiopia,"['south sudan', 'sudan']"
Ethiopia,['kenya']
Ethiopia,['djibouti']
People's republic of china,['nepal']
People's republic of china,['bhutan']
People's republic of china,['afghanistan']
