Entity,ObjectEntity
Canada,['english']
Canada,['french']
Norway,['norwegian']
Norway,['nynorsk']
Norway,"['bokmal', 'bokmål']"
Norway,"['sami', 'sámi']"
Republic of ireland,['english']
Republic of ireland,['irish']
Spain,['spanish']
Belgium,['french']
Belgium,['german']
Belgium,['dutch']
Luxembourg,['french']
Luxembourg,['german']
Luxembourg,['luxembourgish']
Finland,['finnish']
Finland,['swedish']
Poland,['polish']
Lithuania,['lithuanian']
Switzerland,['german']
Switzerland,['italian']
Switzerland,['romansh']
Switzerland,['french']
Austria,['german']
Austria,"['austrian sign language', 'austrian sign']"
Greece,['demotic greek']
Greece,['greek']
Turkey,['turkish']
Portugal,['portuguese']
Portugal,['mirandese']
Ghana,['english']
Brazil,['portuguese']
Belarus,['russian']
Belarus,['belarusian']
Estonia,['estonian']
Latvia,['latvian']
Slovakia,['slovak']
Slovenia,['slovene']
Moldova,['romanian']
Moldova,['moldovan']
Bulgaria,['bulgarian']
North macedonia,['albanian']
North macedonia,['macedonian']
Albania,['albanian']
Georgia,['abkhaz']
Georgia,['georgian']
Kazakhstan,['russian']
Kazakhstan,['kazakh']
Malta,['english']
Malta,['maltese']
Monaco,['french']
Montenegro,['montenegrin']
Cuba,['spanish']
Cuba,['cuban spanish']
Belize,['english']
Algeria,['standard algerian berber']
Algeria,['arabic']
Uzbekistan,['uzbek']
Singapore,"['standard mandarin', 'standard']"
Singapore,['malay']
Singapore,['english']
Singapore,['tamil']
Bahrain,['arabic']
Armenia,['armenian']
Argentina,['spanish']
India,['hindi']
India,['english']
Nauru,['english']
Nauru,['nauruan']
Marshall islands,['english']
Marshall islands,['marshallese']
Kiribati,['english']
Kiribati,['gilbertese']
Suriname,['dutch']
Colombia,['spanish']
Bolivia,['spanish']
Bolivia,['aymara']
Bolivia,['quechua']
Bolivia,['guarani']
Jamaica,['english']
Guatemala,['spanish']
Antigua and barbuda,['english']
Honduras,['spanish']
Dominica,['english']
Haiti,['french']
Haiti,['haitian creole']
Costa rica,['spanish']
Israel,['hebrew']
Jordan,['arabic']
Nicaragua,['spanish']
Kyrgyzstan,['russian']
Kyrgyzstan,['kyrgyz']
Kuwait,['arabic']
Laos,['lao']
Lebanon,['arabic']
Maldives,['maldivian']
Nepal,['nepali']
Pakistan,['urdu']
Pakistan,['english']
Pakistan,['arabic']
Qatar,['arabic']
Sri lanka,['tamil']
Sri lanka,['sinhala']
Syria,['arabic']
Taiwan,['amis']
Taiwan,['taiwanese hokkien']
Taiwan,['austronesian']
Taiwan,"['standard taiwanese', 'standard taiwanese mandarin']"
Taiwan,['formosan']
Taiwan,['paiwan']
Taiwan,['hakka']
Vietnam,['vietnamese']
Bangladesh,['bengali']
Angola,['portuguese']
Philippines,['english']
Philippines,['filipino']
Togo,['french']
Tunisia,['arabic']
Zambia,['english']
Benin,['french']
Botswana,['english']
Burundi,['french']
Burundi,['english']
Burundi,['kirundi']
Comoros,['arabic']
Comoros,['comorian']
Comoros,['french']
Republic of the congo,['french']
Democratic republic of the congo,['french']
Djibouti,['arabic']
Djibouti,['french']
Eritrea,['english']
Eritrea,['arabic']
Eritrea,['tigrinya']
Gabon,['french']
gambia,['english']
Guinea-bissau,['portuguese']
Cape verde,['portuguese']
Cape verde,['cape verdean creole']
Lesotho,['sesotho']
Lesotho,['english']
Liberia,['english']
Libya,['arabic']
Madagascar,['french']
Madagascar,['malagasy']
Malawi,['chewa']
Malawi,['english']
Mauritania,['arabic']
Mozambique,['portuguese']
Namibia,['english']
Niger,['french']
Uganda,['english']
Uganda,['swahili']
Sao tome and principe,['portuguese']
Sierra leone,['english']
Somalia,['somali']
Somalia,['arabic']
Kingdom of the netherlands,['dutch']
State of palestine,['arabic']
