Entity,ObjectEntity
Kobe bryant,['aircraft crash']
John lennon,['ballistic trauma']
John mccain,['glioblastoma']
Kofi annan,['disease']
David bowie,"['liver cancer', 'cancer']"
Tupac shakur,['drive-by']
Lata mangeshkar,['multiple organ dysfunction syndrome']
Jimi hendrix,['pulmonary emphysema']
Bruce lee,"['edema', 'cerebral edema']"
John lewis,"['pancreatic cancer', 'cancer']"
Mac miller,['drug overdose']
Bob saget,['blunt trauma']
Bob saget,['head injury']
Vladimir zhirinovsky,['septic shock']
Vladimir zhirinovsky,"['covid-19', 'covid']"
Rishi kapoor,['leukemia']
Vivek,['cardiac arrest']
Louis armstrong,"['myocardial infarction', 'infarction']"
Prince,['fentanyl toxicity']
Paul walker,['traffic collision']
Frida kahlo,['bronchopneumonia']
Naya rivera,['drowning']
Chris cornell,['hanging']
Shane warne,"['myocardial infarction', 'infarction']"
Hugh hefner,['sepsis']
Irrfan khan,"['tumor', 'neuroendocrine tumor']"
Pierre nkurunziza,['cardiac arrest']
Pierre nkurunziza,"['covid-19', 'covid']"
Sridevi,['drowning']
Cory monteith,['drug overdose']
Manohar parrikar,"['pancreatic cancer', 'cancer']"
Amber rayne,['drug overdose']
Kurt vonnegut,"['falling', 'fall']"
Avicii,['exsanguination']
Selena,['ballistic trauma']
Betty white,['stroke']
Christina grimmie,['ballistic trauma']
Grant imahara,"['intracranial aneurysm', 'aneurysm']"
Philipp mißfelder,['pulmonary embolism']
Roh hoe-chan,['falling']
Rush limbaugh,"['cancer', 'lung cancer']"
Madeleine albright,['cancer']
Raffaella carrà,"['cancer', 'lung cancer']"
Frank sinatra,"['myocardial infarction', 'infarction']"
Terry jones,"['frontotemporal dementia', 'dementia']"
Paul g. allen,"['non-hodgkin lymphoma', 'lymphoma']"
Emiliano sala,['aircraft crash']
Harry reid,"['pancreatic cancer', 'cancer']"
Idriss déby,['ballistic trauma']
Abdul rehman malik,"['covid-19', 'covid']"
Tabaré vázquez,"['cancer', 'lung cancer']"
Martin mcguinness,['amyloidosis']
Merle haggard,['pneumonia']
Sayaka kanda,['shock']
Sayaka kanda,"['suicide by jumping from height', 'suicide']"
Zindzi mandela,['not yet determined']
Zindzi mandela,"['covid-19', 'covid']"
Ennio morricone,['femoral fracture']
Anne rice,['stroke']
Mike gravel,"['multiple myeloma', 'myeloma']"
Eduardo galeano,"['cancer', 'lung cancer']"
Dan kaminsky,['diabetic ketoacidosis']
Johnny cash,['diabetes']
Jules bianchi,['diffuse axonal injury']
John wayne,"['cancer', 'stomach cancer']"
Brodie lee,['idiopathic pulmonary fibrosis']
Fred willard,['cardiac arrest']
Fred willard,['coronary artery disease']
Fred willard,['myelodysplastic syndrome']
Miles davis,['pneumonia']
Miles davis,['stroke']
Edith gonzález,"['cancer', 'ovarian cancer']"
The ultimate warrior,"['myocardial infarction', 'infarction']"
Ahmed zewail,"['lymphoma', 'spinal cord lymphoma']"
Meat loaf,"['covid-19', 'covid']"
Almudena grandes,['cancer']
Caroline flack,['hanging']
Maurane,['falling']
Fernando solanas,"['covid-19', 'covid']"
Jonah lomu,['cardiac arrest']
Jonah lomu,['kidney failure']
Jonah lomu,['nephrotic syndrome']
Ken robinson,['cancer']
Roger moore,['cancer']
Ashley massaro,['hanging']
Adrian lamo,['http://www.wikidata.org/.well-known/genid/175b3912f6572c0b1af3667fc20025b3']
Glenn fredly,['meningitis']
"John dingell, jr.","['cancer', 'prostate cancer']"
Bettie page,"['myocardial infarction', 'infarction']"
Carlos ruiz zafón,"['colorectal cancer', 'cancer']"
Adam west,['leukemia']
Garry shandling,['thrombosis']
Michael hastings,['traffic collision']
José manuel de la sota,['traffic collision']
T. boone pickens,['cerebrovascular disease']
Richard l. hanna,['cancer']
Marília mendonça,"['accident', 'aviation accident']"
Dj arafat,['traffic collision']
Bekir coşkun,"['cancer', 'lung cancer']"
René auberjonois,"['cancer', 'lung cancer']"
Ravi zacharias,"['cancer', 'spinal cancer']"
Juan gabriel,"['myocardial infarction', 'infarction']"
Jack layton,['cancer']
Kō masaki,['appendicitis']
Kō masaki,['peritonitis']
Haruma miura,['hanging']
Sushant singh rajput,['asphyxia']
Mike enzi,"['accident', 'bicycle accident']"
Jonathan sacks,['cancer']
Willie garson,"['pancreatic cancer', 'cancer']"
Dmx,"['myocardial infarction', 'infarction']"
