Entity,ObjectEntity
Bruce Springsteen,['piano']
Bruce Springsteen,['guitar']
Bruce Springsteen,['harmonica']
John Lennon,['piano']
John Lennon,['guitar']
John Lennon,"['bass guitar', 'guitar']"
John Lennon,['harmonica']
John Lennon,"['keyboard instrument', 'keyboard']"
John Lennon,['none']
Snoop Dogg,['none']
David Bowie,['piano']
David Bowie,['guitar']
David Bowie,['saxophone']
David Bowie,"['keyboard instrument', 'keyboard']"
David Bowie,"['drum', 'drum kit']"
David Bowie,"['keyboard', 'musical keyboard']"
David Bowie,['arp 2500']
David Bowie,['none']
Neil Young,['guitar']
Axl Rose,['piano']
Axl Rose,['guitar']
Axl Rose,['bass']
Axl Rose,['pander']
Axl Rose,['none']
James Maslow,['piano']
James Maslow,['guitar']
James Maslow,"['drum', 'drum kit']"
James Maslow,['none']
Slash,['guitar']
Slash,"['bass guitar', 'guitar']"
Carlos PenaVega,['ukulele']
Carlos PenaVega,['none']
Hayley Williams,['piano']
Hayley Williams,['guitar']
Hayley Williams,"['bass guitar', 'guitar']"
Hayley Williams,"['keyboard instrument', 'keyboard']"
Hayley Williams,"['drum', 'drum kit']"
Hayley Williams,['none']
Niall Horan,['piano']
Niall Horan,['guitar']
Niall Horan,['none']
Ozzy Osbourne,['harmonica']
Ozzy Osbourne,"['keyboard instrument', 'keyboard']"
Ozzy Osbourne,['none']
Roger Taylor,['guitar']
Roger Taylor,"['bass guitar', 'guitar']"
Roger Taylor,"['keyboard instrument', 'keyboard']"
Roger Taylor,"['drum', 'drum kit']"
Roger Taylor,"['drum machine', 'drum']"
Roger Taylor,['none']
Liam Gallagher,['guitar']
Liam Gallagher,['maraca']
Liam Gallagher,['none']
Marisa Monte,['guitar']
Marisa Monte,['none']
Liam Payne,['piano']
Liam Payne,['guitar']
Liam Payne,['none']
Rino Sashihara,['trombone']
Rino Sashihara,['none']
Marilyn Manson,['piano']
Marilyn Manson,['guitar']
Marilyn Manson,['saxophone']
Marilyn Manson,"['bass guitar', 'guitar']"
Marilyn Manson,['none']
Joseph Hahn,"['keyboard instrument', 'keyboard']"
Joseph Hahn,['none']
Nichkhun,"['keyboard instrument', 'keyboard']"
Nichkhun,['none']
Amy Lee,['piano']
Amy Lee,['guitar']
Amy Lee,['harp']
Amy Lee,['pipe organ']
Amy Lee,['none']
Yesung,['piano']
Yesung,['none']
Harry Styles,['guitar']
Harry Styles,['none']
Steven Tyler,['harmonica']
Steven Tyler,['none']
Leeteuk,['piano']
Leeteuk,['none']
Dave Farrell,"['bass guitar', 'guitar']"
Gerard Way,"['electric guitar', 'guitar']"
Gerard Way,['none']
Duff McKagan,['guitar']
