Entity,ObjectEntity
Narendra Modi,['hindi']
Narendra Modi,['english']
Narendra Modi,['gujarati']
Narendra Modi,['bengali']
Narendra Modi,['sanskrit']
Narendra Modi,['punjabi']
Sebastián Piñera,['french']
Sebastián Piñera,['spanish']
Sebastián Piñera,['english']
François Hollande,['french']
Bill Clinton,['english']
Miley Cyrus,['english']
David Cameron,['english']
Shakira,['french']
Shakira,['italian']
Shakira,['spanish']
Shakira,['english']
Shakira,['portuguese']
Shakira,['catalan']
Aamir Khan,['hindi']
Aamir Khan,['urdu']
Aamir Khan,['english']
Novak Djokovic,['french']
Novak Djokovic,['german']
Novak Djokovic,['italian']
Novak Djokovic,['english']
Novak Djokovic,['serbian']
Karim Benzema,['french']
Nicolas Sarkozy,['french']
Britney Spears,['english']
Salman Khan,['hindi']
Michael Bloomberg,['english']
Ezra Klein,['english']
Donald Tusk,['german']
Donald Tusk,['polish']
Donald Tusk,['english']
Alessandro Del Piero,['italian']
Gerard Piqué,['spanish']
Gerard Piqué,['english']
Gerard Piqué,['catalan']
Bob Marley,['english']
Taylor Swift,['english']
Rihanna,['english']
Katy Perry,['english']
David Guetta,['french']
Lil Wayne,['english']
Kobe Bryant,['italian']
Kobe Bryant,['spanish']
Kobe Bryant,['english']
Vladimir Putin,['german']
Vladimir Putin,['english']
Vladimir Putin,['russian']
Vladimir Putin,['swedish']
Lance Armstrong,['english']
Michael Jackson,['english']
Michael Jackson,"['english', 'american english']"
Paul McCartney,['english']
Blaise Matuidi,['french']
Selena Gomez,['spanish']
Selena Gomez,['english']
Emma Watson,['french']
Emma Watson,['english']
Dwayne Johnson,['english']
Justin Timberlake,['english']
Miranda Cosgrove,['english']
V. V. S. Laxman,['english']
V. V. S. Laxman,['telugu']
Carles Puyol,['spanish']
Carles Puyol,['catalan']
Demi Lovato,['english']
Harbhajan Singh,['punjabi']
Cesc Fàbregas,['spanish']
Cesc Fàbregas,['catalan']
Sasha Grey,['french']
Sasha Grey,['english']
Bruce Springsteen,['english']
Ronaldinho,['spanish']
Ronaldinho,['portuguese']
Zlatan Ibrahimović,['italian']
Zlatan Ibrahimović,['spanish']
Zlatan Ibrahimović,['english']
Zlatan Ibrahimović,['swedish']
Zlatan Ibrahimović,['bosnian']
Henrique Capriles Radonski,['spanish']
Jean-Luc Mélenchon,['french']
Jean-Luc Mélenchon,['spanish']
André-Pierre Gignac,['french']
Iker Casillas,['spanish']
Oprah Winfrey,['english']
Pharrell Williams,['english']
Avril Lavigne,['english']
Buzz Aldrin,['english']
Chloë Grace Moretz,['english']
Mark Hoppus,['english']
John Cena,['english']
John Cena,"['mandarin chinese', 'chinese']"
Enrique Iglesias,['spanish']
Enrique Iglesias,['english']
Andrés Iniesta,['spanish']
tanayo,['spanish']
tanayo,['english']
Ariana Grande,['english']
Lana Del Rey,['spanish']
Lana Del Rey,['english']
Elizabeth II,['english']
Recep Tayyip Erdoğan,['turkish']
Hugo Chávez,['spanish']
Jessie J,['english']
Beyoncé,['english']
Jose Michimani,['english']
Christina Aguilera,['english']
Ed Sheeran,['english']
Elton John,['english']
Claire Holt,['english']
Mohammed bin Rashid Al Maktoum,['english']
Mohammed bin Rashid Al Maktoum,['arabic']
Andy Murray,['english']
Paris Hilton,['english']
Skrillex,['english']
Genelia D'Souza,['hindi']
Genelia D'Souza,['tamil']
Genelia D'Souza,['telugu']
Genelia D'Souza,['malayalam']
John Legend,['english']
Wiz Khalifa,['english']
Franz Beckenbauer,['german']
Alicia Keys,['english']
Ashley Young,['english']
Barbara Palvin,['french']
Barbara Palvin,['german']
Barbara Palvin,['english']
Barbara Palvin,['japanese']
Barbara Palvin,['hungarian']
Jessica B. Hill,['english']
Jeremy Renner,['english']
Psy,['korean']
John Cleese,['english']
Oscar dos Santos Emboaba Júnior,['portuguese']
Pelé,['portuguese']
Chris Brown,['english']
Lindsey Vonn,['german']
Lindsey Vonn,['english']
Pink,['english']
Jessica Alba,['english']
Abdullah Gül,['turkish']
Imran Khan,['urdu']
Imran Khan,['english']
Marc Márquez,['spanish']
Marc Márquez,['english']
Marc Márquez,['catalan']
Rafael Correa Delgado,['spanish']
Lindsay Lohan,['english']
Mark Ruffalo,['english']
Carly Rae Jepsen,['english']
David De Gea,['spanish']
David De Gea,['english']
Tom Cruise,['english']
