Entity,ObjectEntity
Bob marley,['jackson memorial hospital']
Elvis presley,['graceland']
Michael jackson,['los angeles']
John lennon,['new york city']
Hugo chávez,['hospital militar de caracas']
John mccain,['cornville']
Kofi annan,['bern']
Nelson mandela,['houghton estate']
Jimi hendrix,['kensington']
Leonard nimoy,['bel air']
Paul bocuse,"[""collonges-au-mont-d'or""]"
Maya angelou,['winston-salem']
John lewis,['atlanta']
Mac miller,['los angeles']
Karl lagerfeld,['neuilly-sur-seine']
Anthony bourdain,['kaysersberg vignoble']
George h. w. bush,['houston']
Patrice o'neal,['jersey city']
Rishi kapoor,['mumbai']
Aaliyah,['marsh harbour']
Chespirito,['cancun']
Larry king,['cedars-sinai medical center']
Roddy piper,['hollywood']
Paul walker,['valencia']
Frida kahlo,['coyoacán']
Vicente fernández,['guadalajara']
Carrie fisher,"['los angeles, california, estados unufos']"
Elizabeth taylor,['los angeles']
Sushma swaraj,"['new delhi', 'delhi']"
Naya rivera,['lake piru']
Christina grimmie,['orlando']
Christina grimmie,['orlando regional medical center']
Sridevi,['dubai']
Manohar parrikar,['panaji']
Alan garcía,['lima']
Kurt vonnegut,['new york city']
George michael,['goring-on-thames']
Alfredo gonzález flores,['heredia']
Avicii,['muscat']
Betty white,['brentwood']
Jack welch,['manhattan']
Roger ebert,['chicago']
Pierre nkurunziza,['karuzi']
Kim jong-hyun,['cheongdam-dong']
Roald dahl,['oxford']
Cameron boyce,['los angeles']
Grant imahara,['los angeles']
Philipp mißfelder,['coesfeld']
Stephen covey,['idaho falls']
Charlie daniels,['hermitage']
John coltrane,['huntington']
Leon allen white,['denver']
Raffaella carrà,['rome']
Frank sinatra,['los angeles']
Thích nhất hạnh,['từ hiếu pogoda']
Terry jones,['north london']
Tom petty,['ucla santa monica medical center']
Paul g. allen,['seattle']
Nicky hayden,['cesena']
Harry reid,['henderson']
Idriss déby,['tibesti region']
Abdul rehman malik,['islamabad']
Tabaré vázquez,['montevideo']
Merle haggard,['palo cedro']
Aretha franklin,['detroit']
Wes craven,['los angeles']
Dan kaminsky,['san francisco']
Sarah harding,['manchester']
Michael collins,['naples']
Jules bianchi,['nice']
John wayne,['westwood']
Brodie lee,['jacksonville']
Kazuo koike,['tokyo']
Norm macdonald,['los angeles']
Mourid barghouti,['amman']
John mayer,['london']
Lina ben mhenni,['tunis']
Ram dass,['maui']
The ultimate warrior,['scottsdale']
Peaches geldof,['wrotham']
Meat loaf,['nashville']
Maurane,['schaerbeek - schaarbeek']
Dusty rhodes,['orlando']
Fernando solanas,['neuilly-sur-seine']
Scott hall,['marietta']
Hans rosling,['uppsala']
Zindzi mandela,['johannesburg']
Elijah cummings,['baltimore']
Johnny isakson,['atlanta']
Mf doom,['london']
Ashley massaro,['smithtown']
Verne troyer,['los angeles']
Chadwick boseman,['los angeles']
"John dingell, jr.",['dearborn']
Carlos ruiz zafón,['los angeles']
Adam west,['los angeles']
Michael hastings,['los angeles']
T. boone pickens,['dallas']
Gregg allman,['richmond hill']
Hank aaron,['atlanta']
Leo burnett,['lake zurich']
