Entity,ObjectEntity
Barack Obama,['lawyer']
Barack Obama,['politician']
Barack Obama,['jurist']
Barack Obama,['statesperson']
Barack Obama,['podcaster']
Barack Obama,"['political writer', 'writer']"
Barack Obama,"['community organizer', 'organizer']"
Narendra Modi,['writer']
Narendra Modi,['politician']
Narendra Modi,['social worker']
Narendra Modi,['bibliographer']
Bruno Mars,['composer']
Bruno Mars,"['producer', 'record producer']"
Bruno Mars,"['singer-songwriter', 'singer']"
Bruno Mars,['songwriter']
Bruno Mars,"['multi-instrumentalist', 'instrumentalist']"
Bruno Mars,"['music video director', 'director']"
Bruno Mars,"['voice actor', 'actor']"
Bruno Mars,['choreographer']
Bruno Mars,['dancer']
Britney Spears,['screenwriter']
Britney Spears,['writer']
Britney Spears,['composer']
Britney Spears,['businessperson']
Britney Spears,['singer']
Britney Spears,"['producer', 'record producer']"
Britney Spears,"['singer-songwriter', 'singer']"
Britney Spears,['perfumer']
Britney Spears,['musician']
Britney Spears,['public figure']
Britney Spears,['songwriter']
Britney Spears,"['actor', 'stage actor']"
Britney Spears,"['music video director', 'director']"
Britney Spears,"['designer', 'fashion designer']"
Britney Spears,['model']
Britney Spears,['dancer']
Britney Spears,"['actor', 'television actor']"
Britney Spears,"['actor', 'film actor']"
Britney Spears,['manufacturer']
Britney Spears,['presenter']
Britney Spears,"['singer', 'child singer']"
Miley Cyrus,['actor']
Miley Cyrus,['singer']
Miley Cyrus,"['singer-songwriter', 'singer']"
Miley Cyrus,['musician']
Miley Cyrus,"['voice actor', 'actor']"
Miley Cyrus,"['actor', 'television actor']"
Miley Cyrus,"['actor', 'film actor']"
Donald Trump,['actor']
Donald Trump,['writer']
Donald Trump,['businessperson']
Donald Trump,['politician']
Donald Trump,['entrepreneur']
Donald Trump,"['ceo', 'chief executive officer']"
Donald Trump,['investor']
Donald Trump,"['television producer', 'producer']"
Donald Trump,['business magnate']
Donald Trump,"['presenter', 'television presenter']"
Donald Trump,"['producer', 'film producer']"
Donald Trump,['restaurateur']
Donald Trump,['real estate entrepreneur']
Donald Trump,"['non-fiction writer', 'writer']"
Donald Trump,"['real estate developer', 'developer']"
Donald Trump,['conspiracy theorist']
Donald Trump,"['host', 'game show host']"
Sebastián Piñera,['businessperson']
Sebastián Piñera,['engineer']
Sebastián Piñera,['politician']
Sebastián Piñera,['economist']
Sebastián Piñera,['investor']
Sebastián Piñera,['consultant']
Sebastián Piñera,"['sports executive', 'executive']"
Snoop Dogg,['screenwriter']
Snoop Dogg,['actor']
Snoop Dogg,['businessperson']
Snoop Dogg,['singer']
Snoop Dogg,"['producer', 'record producer']"
Snoop Dogg,"['singer-songwriter', 'singer']"
Snoop Dogg,"['television producer', 'producer']"
Snoop Dogg,['musician']
Snoop Dogg,['songwriter']
Snoop Dogg,['rapper']
Snoop Dogg,"['voice actor', 'actor']"
Snoop Dogg,"['director', 'film director']"
Snoop Dogg,"['producer', 'film producer']"
Snoop Dogg,"['actor', 'television actor']"
Snoop Dogg,"['actor', 'film actor']"
Snoop Dogg,['manufacturer']
Rihanna,['actor']
Rihanna,['businessperson']
Rihanna,['singer']
Rihanna,['diplomat']
Rihanna,"['singer-songwriter', 'singer']"
Rihanna,['rapper']
Rihanna,"['voice actor', 'actor']"
Rihanna,"['designer', 'fashion designer']"
Rihanna,"['actor', 'television actor']"
Rihanna,"['actor', 'film actor']"
Rihanna,"['artist', 'recording artist']"
Katy Perry,['actor']
Katy Perry,['businessperson']
Katy Perry,"['producer', 'record producer']"
Katy Perry,"['singer-songwriter', 'singer']"
Katy Perry,['guitarist']
Katy Perry,"['voice actor', 'actor']"
Katy Perry,['model']
Katy Perry,['dancer']
Katy Perry,['philanthropist']
Katy Perry,['autobiographer']
Amitabh Bachchan,['actor']
Amitabh Bachchan,['singer']
Amitabh Bachchan,"['producer', 'film producer']"
Amitabh Bachchan,"['actor', 'television actor']"
Amitabh Bachchan,"['actor', 'film actor']"
Arnold Schwarzenegger,['actor']
Arnold Schwarzenegger,['businessperson']
Arnold Schwarzenegger,['politician']
Arnold Schwarzenegger,['entrepreneur']
Arnold Schwarzenegger,"['broker', 'real estate broker']"
Arnold Schwarzenegger,"['director', 'film director']"
Arnold Schwarzenegger,"['producer', 'film producer']"
Arnold Schwarzenegger,['restaurateur']
Arnold Schwarzenegger,['soldier']
Arnold Schwarzenegger,"['actor', 'film actor']"
Arnold Schwarzenegger,['bodybuilder']
Arnold Schwarzenegger,['autobiographer']
Arnold Schwarzenegger,['powerlifter']
Salman Khan,['singer']
Salman Khan,"['presenter', 'television presenter']"
Salman Khan,"['producer', 'film producer']"
Salman Khan,"['actor', 'film actor']"
Stephen Harper,['politician']
Stephen Harper,['economist']
Stephen Harper,['pianist']
Michael Jackson,['screenwriter']
Michael Jackson,['actor']
Michael Jackson,['businessperson']
Michael Jackson,['poet']
Michael Jackson,['entrepreneur']
Michael Jackson,['singer']
Michael Jackson,"['producer', 'record producer']"
Michael Jackson,"['singer-songwriter', 'singer']"
Michael Jackson,['musician']
Michael Jackson,['songwriter']
Michael Jackson,"['voice actor', 'actor']"
Michael Jackson,"['director', 'film director']"
Michael Jackson,['model']
Michael Jackson,['dancer']
Michael Jackson,"['art collector', 'collector']"
Michael Jackson,"['actor', 'film actor']"
Michael Jackson,['philanthropist']
Michael Jackson,['autobiographer']
Michael Jackson,"['artist', 'recording artist']"
François Hollande,['statesperson']
Dwayne Johnson,['actor']
Dwayne Johnson,['businessperson']
Dwayne Johnson,"['executive producer', 'producer']"
Dwayne Johnson,"['voice actor', 'actor']"
Dwayne Johnson,"['producer', 'film producer']"
Dwayne Johnson,"['actor', 'television actor']"
Dwayne Johnson,"['actor', 'film actor']"
Dwayne Johnson,"['wrestler', 'professional wrestler']"
Dwayne Johnson,"['american football player', 'player']"
Dwayne Johnson,"['player', 'canadian football player']"
Chris Rock,['screenwriter']
Chris Rock,['comedian']
Chris Rock,"['television producer', 'producer']"
Chris Rock,"['presenter', 'television presenter']"
Chris Rock,"['voice actor', 'actor']"
Chris Rock,"['director', 'film director']"
Chris Rock,"['producer', 'film producer']"
Chris Rock,"['actor', 'television actor']"
Chris Rock,"['actor', 'film actor']"
Chris Rock,"['comedian', 'stand-up comedian']"
Demi Lovato,['actor']
Demi Lovato,['composer']
Demi Lovato,['pianist']
Demi Lovato,"['singer-songwriter', 'singer']"
