Entity,ObjectEntity
Oder,['poland']
Oder,"['czech republic', 'czechia']"
Oder,['germany']
Oder,['poland']
Oder,['germany']
Oder,"['czech republic', 'czechia']"
Rhine,['netherlands']
Rhine,['switzerland']
Rhine,['france']
Rhine,['germany']
Rhine,['liechtenstein']
Rhine,['switzerland']
Rhine,['austria']
Rhine,['netherlands']
Rhine,['france']
Rhine,['germany']
Rhine,['liechtenstein']
Don,['russia']
Don,['russia']
Colorado river,"['usa', 'united states of america']"
Colorado river,"['usa', 'united states of america']"
Colorado river,['mexico']
Colorado river,"['usa', 'united states of america']"
Colorado river,"['usa', 'united states of america']"
Colorado river,['mexico']
Elbe,['poland']
Elbe,"['czech republic', 'czechia']"
Elbe,['austria']
Elbe,['germany']
Elbe,['germany']
Elbe,"['czech republic', 'czechia']"
Ems,['germany']
Ems,['netherlands']
Ems,['germany']
Danube,['germany']
Danube,['hungary']
Danube,['austria']
Danube,['germany']
Danube,['ukraine']
Danube,['slovakia']
Danube,['moldova']
Danube,['romania']
Danube,['bulgaria']
Danube,['croatia']
Danube,['serbia']
Moselle,['luxembourg']
Moselle,['france']
Moselle,['germany']
Moselle,['luxembourg']
Moselle,['france']
Moselle,['germany']
Hudson river,"['usa', 'united states of america']"
Hudson river,"['usa', 'united states of america']"
Nile,['egypt']
Nile,['kenya']
Nile,['sudan']
Nile,['tanzania']
Nile,"['sudan', 'south sudan']"
Nile,"['republic of the congo', 'congo']"
Nile,"['democratic republic of the congo', 'congo']"
Nile,['eritrea']
Nile,['uganda']
Nile,['egypt']
Nile,['kenya']
Nile,['tanzania']
Nile,"['sudan', 'south sudan']"
Nile,"['democratic republic of the congo', 'congo']"
Nile,['eritrea']
Nile,['uganda']
Nile,['sudan']
Niger river,['guinea']
Niger river,['mali']
Niger river,['benin']
Niger river,['guinea']
Niger river,['niger']
Niger river,['nigeria']
Senegal river,['guinea']
Senegal river,['mali']
Senegal river,['mauritania']
Senegal river,['senegal']
Amazon,['brazil']
Amazon,['peru']
Amazon,['venezuela']
Amazon,['ecuador']
Amazon,['colombia']
Amazon,['bolivia']
Amazon,['brazil']
Amazon,['peru']
Amazon,['colombia']
Ohio river,['pennsylvania']
Ohio river,"['usa', 'united states of america']"
Yangtze,"['china', ""people's republic of china""]"
Yangtze,"['china', ""people's republic of china""]"
Pregolya,['russia']
Pregolya,['russia']
Fulda,['germany']
Fulda,['germany']
Indus river,"['china', ""people's republic of china""]"
Indus river,['pakistan']
Indus river,['india']
Indus river,"['china', ""people's republic of china""]"
Indus river,['india']
Indus river,['pakistan']
Yellow river,"['china', ""people's republic of china""]"
Yellow river,"['china', ""people's republic of china""]"
Pechora,['russia']
Pechora,['russia']
Daugava,['belarus']
Daugava,['estonia']
Daugava,['russia']
Daugava,['lithuania']
Daugava,['latvia']
Daugava,['russia']
Daugava,['belarus']
Daugava,['latvia']
Hari river,['iran']
Hari river,['turkmenistan']
Hari river,['afghanistan']
Hari river,['iran']
Hari river,['turkmenistan']
Hari river,['afghanistan']
Tiber,['italy']
Tiber,['italy']
