Entity,ObjectEntity
Scotland,['england']
Wales,['england']
Utah,['arizona']
Utah,['wyoming']
Utah,['idaho']
Utah,['nevada']
Utah,['colorado']
Utah,['new mexico']
Montana,"['north dakota', 'dakota']"
Montana,"['dakota', 'south dakota']"
Montana,['wyoming']
Montana,['idaho']
Montana,['alberta']
Montana,['british columbia']
Montana,['saskatchewan']
Montana,['northwest territories']
Massachusetts,['new hampshire']
Massachusetts,['connecticut']
Massachusetts,['new york']
Massachusetts,['rhode island']
Massachusetts,['vermont']
Idaho,['oregon']
Idaho,['utah']
Idaho,['montana']
Idaho,['wyoming']
Idaho,['washington']
Idaho,['nevada']
Idaho,['british columbia']
Colorado,['arizona']
Colorado,['utah']
Colorado,['wyoming']
Colorado,['new mexico']
Colorado,['nebraska']
Colorado,['kansas']
Colorado,['oklahoma']
New hampshire,['quebec']
New hampshire,['maine']
New hampshire,['massachusetts']
New hampshire,['vermont']
Michigan,['illinois']
Michigan,['ohio']
Michigan,['indiana']
Michigan,['minnesota']
Michigan,['wisconsin']
Michigan,['ontario']
Tokyo,"['chiba', 'chiba prefecture']"
Tokyo,"['kanagawa prefecture', 'kanagawa']"
Tokyo,"['saitama prefecture', 'saitama']"
Tokyo,"['yamanashi prefecture', 'yamanashi']"
New mexico,['chihuahua']
New mexico,['arizona']
New mexico,['utah']
New mexico,['colorado']
New mexico,['texas']
New mexico,['oklahoma']
New mexico,['sonora']
São paulo,"['parana', 'paraná']"
São paulo,['minas gerais']
São paulo,['rio de janeiro']
São paulo,['mato grosso do sul']
Virginia,"['virginia', 'west virginia']"
Virginia,['maryland']
Virginia,"['north carolina', 'carolina']"
Virginia,['tennessee']
Virginia,['kentucky']
Virginia,['district of columbia']
Kentucky,['illinois']
Kentucky,['virginia']
Kentucky,"['virginia', 'west virginia']"
Kentucky,['ohio']
Kentucky,['indiana']
Kentucky,['tennessee']
Kentucky,['missouri']
Ohio,['michigan']
Ohio,"['virginia', 'west virginia']"
Ohio,['pennsylvania']
Ohio,['indiana']
Ohio,['kentucky']
Ohio,['ontario']
Drenthe,['groningen']
Drenthe,['friesland']
Drenthe,['overijssel']
Drenthe,['lower saxony']
Drenthe,['emsland']
Drenthe,['county of bentheim']
Lombardy,['piedmont']
Lombardy,['trentino-south tyrol']
Lombardy,['veneto']
Lombardy,['emilia-romagna']
Lombardy,['grisons']
Lombardy,"['canton of ticino', 'ticino']"
Nebraska,"['dakota', 'south dakota']"
Nebraska,['wyoming']
Nebraska,['colorado']
Nebraska,['iowa']
Nebraska,['kansas']
Nebraska,['missouri']
Connecticut,['massachusetts']
Connecticut,['new york']
Connecticut,['rhode island']
Alaska,['british columbia']
Alaska,['yukon']
Alaska,['chukotka autonomous okrug']
Lazio,['tuscany']
Lazio,['marche']
Lazio,['umbria']
Lazio,['abruzzo']
Lazio,['campania']
Lazio,['molise']
Oklahoma,['colorado']
Oklahoma,['texas']
Oklahoma,['new mexico']
Oklahoma,['kansas']
Oklahoma,['missouri']
Oklahoma,['arkansas']
Maryland,['virginia']
Maryland,"['virginia', 'west virginia']"
Maryland,['delaware']
Maryland,['pennsylvania']
Maryland,['district of columbia']
Georgia,['alabama']
Georgia,['florida']
Georgia,"['north carolina', 'carolina']"
Georgia,"['south carolina', 'carolina']"
Georgia,['tennessee']
